Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",3302500886,-102.8078753,47.443767,208494,Bice 2-29H,4417,Bice 2 - Tank 2,2,404.71751,1.686322958,29,146N,095W,DUNN
"Continental Resources, Inc.",3302500886,-102.8078753,47.443767,208494,Bice 2-29H,4418,Bice 2 - Tank 3,3,404.61066,1.68587775,29,146N,095W,DUNN
"Continental Resources, Inc.",3305302986,-102.9893812,47.9058678,208502,Olson 1-8H,4239,Olson - Tank 1,1,404.5,1.685416667,8,151N,096W,MC KENZIE
"Continental Resources, Inc.",3305302986,-102.9893812,47.9058678,208502,Olson 1-8H,4240,Olson - Tank 2,2,404.53,1.685541667,8,151N,096W,MC KENZIE
"Continental Resources, Inc.",3305302986,-102.9893812,47.9058678,208502,Olson 1-8H,4241,Olson - Tank 3,3,404.56,1.685666667,8,151N,096W,MC KENZIE
"Continental Resources, Inc.",3305700036,-102.0717934,47.41559,208576,Traxel 1-31H,4370,Traxel - Tank 1,1,404.82311,1.686762958,31,146N,089W,MERCER
"Continental Resources, Inc.",3305700036,-102.0717934,47.41559,208576,Traxel 1-31H,4371,Traxel - Tank 2,2,404.77031,1.686542958,31,146N,089W,MERCER
"Continental Resources, Inc.",3305700036,-102.0717934,47.41559,208576,Traxel 1-31H,4372,Traxel - Tank 3,3,404.77031,1.686542958,31,146N,089W,MERCER
"Continental Resources, Inc.",3302300515,-102.9411565,48.7338494,208579,Lila 1-36H,2943,Lila - Tank 1,1,404.37339,1.684889125,36,161N,095W,DIVIDE
"Continental Resources, Inc.",3302300515,-102.9411565,48.7338494,208579,Lila 1-36H,2944,Lila - Tank 2,2,404.50506,1.68543775,36,161N,095W,DIVIDE
"Continental Resources, Inc.",3302300515,-102.9411565,48.7338494,208579,Lila 1-36H,2945,Lila - Tank 3,3,404.44398,1.68518325,36,161N,095W,DIVIDE
"Continental Resources, Inc.",3305303002,-103.1147358,47.5000924,208580,Brockmeier 1-1H,4588,Brockmeier - Tank 1,1,401.53906,1.673079417,1,146N,098W,MC KENZIE
"Continental Resources, Inc.",3305303002,-103.1147358,47.5000924,208580,Brockmeier 1-1H,4589,Brockmeier - Tank 2,2,401.43471,1.672644625,1,146N,098W,MC KENZIE
"Continental Resources, Inc.",3305303002,-103.1147358,47.5000924,208580,Brockmeier 1-1H,4590,Brockmeier - Tank 3,3,401.59289,1.673303708,1,146N,098W,MC KENZIE
"Continental Resources, Inc.",3305303002,-103.1147358,47.5000924,208580,Brockmeier 1-1H,4591,Brockmeier - Tank 4,4,401.32911,1.672204625,1,146N,098W,MC KENZIE
"Continental Resources, Inc.",3302501010,-102.97466,47.4737462,209050,Hegler 1-13H,4791,Hegler 1 - Tank 1,1,404.72,1.686333333,13,146N,097W,DUNN
"Continental Resources, Inc.",3302501010,-102.97466,47.4737462,209050,Hegler 1-13H,4792,Hegler 1 - Tank 2,2,404.72,1.686333333,13,146N,097W,DUNN
"Continental Resources, Inc.",3302501010,-102.97466,47.4737462,209050,Hegler 1-13H,4793,Hegler 1 - Tank 3,3,404.61,1.685875,13,146N,097W,DUNN
"Continental Resources, Inc.",3302501292,-103.0000873,47.4447723,209056,Edward 1-23H,6597,Edward - Tank 1,1,400.37856,1.668244,14,146N,097W,DUNN
"Continental Resources, Inc.",3302501292,-103.0000873,47.4447723,209056,Edward 1-23H,6598,Edward - Tank 2,2,400.37856,1.668244,14,146N,097W,DUNN
"Continental Resources, Inc.",3302501292,-103.0000873,47.4447723,209056,Edward 1-23H,6599,Edward - Tank 3,3,400.37856,1.668244,14,146N,097W,DUNN
"Continental Resources, Inc.",3302501009,-102.9745323,47.4737462,209057,Arthur 1-12H,4781,Arthur 1 - Tank 1,1,404.61,1.685875,12,146N,097W,DUNN
"Continental Resources, Inc.",3302501009,-102.9745323,47.4737462,209057,Arthur 1-12H,4782,Arthur 1 - Tank 2,2,404.72,1.686333333,12,146N,097W,DUNN
