Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",3310501902,-103.0551755,48.6051786,209283,Hamlet 2-11H,5209,Hamlet 2 - Tank 1,1,404.77031,1.686542958,11,159N,096W,WILLIAMS
"Continental Resources, Inc.",3310501902,-103.0551755,48.6051786,209283,Hamlet 2-11H,5210,Hamlet 2 - Tank 2,2,404.71751,1.686322958,11,159N,096W,WILLIAMS
"Continental Resources, Inc.",3310501902,-103.0551755,48.6051786,209283,Hamlet 2-11H,5211,Hamlet 2 - Tank 3,3,404.71626,1.68631775,11,159N,096W,WILLIAMS
"Continental Resources, Inc.",3302501055,-102.9744017,47.4737462,209342,Hegler 2-13H,4796,Hegler 2 - Tank 1,1,404.77,1.686541667,13,146N,097W,DUNN
"Continental Resources, Inc.",3302501055,-102.9744017,47.4737462,209342,Hegler 2-13H,4797,Hegler 2 - Tank 2,2,404.72,1.686333333,13,146N,097W,DUNN
"Continental Resources, Inc.",3302501055,-102.9744017,47.4737462,209342,Hegler 2-13H,4798,Hegler 2 - Tank 3,3,404.66,1.686083333,13,146N,097W,DUNN
"Continental Resources, Inc.",3302501056,-102.9742711,47.4737462,209343,Arthur 2-12H,4786,Arthur 2 - Tank 1,1,404.66,1.686083333,12,146N,097W,DUNN
"Continental Resources, Inc.",3302501056,-102.9742711,47.4737462,209343,Arthur 2-12H,4787,Arthur 2 - Tank 2,2,404.66,1.686083333,12,146N,097W,DUNN
"Continental Resources, Inc.",3302501056,-102.9742711,47.4737462,209343,Arthur 2-12H,4788,Arthur 2 - Tank 3,3,404.72,1.686333333,12,146N,097W,DUNN
"Continental Resources, Inc.",3302501031,-102.9219183,47.5155843,209345,Bang 2-33H,4578,Bang 2 - Tank 1,1,405.03671,1.687652958,33,147N,096W,DUNN
